x		f(x)		fa'(x)		fd'(x)		fa''(x)		fd''(x)
-1.200000	0.130424	2.379500	0.023656	0.626034	0.733421
-1.190000	0.154080	2.351579	0.023372	0.733421	0.837571
-1.180000	0.177452	2.322546	0.023076	0.837571	0.938469
-1.170000	0.200527	2.292470	0.022770	0.938469	1.036101
-1.160000	0.223298	2.261421	0.022455	1.036101	1.130463
-1.150000	0.245753	2.229465	0.022131	1.130463	1.221552
-1.140000	0.267884	2.196669	0.021799	1.221552	1.309370
-1.130000	0.289684	2.163097	0.021460	1.309370	1.393924
-1.120000	0.311144	2.128813	0.021114	1.393924	1.475224
-1.110000	0.332258	2.093879	0.020762	1.475224	1.553285
-1.100000	0.353019	2.058355	0.020404	1.553285	1.628125
-1.090000	0.373423	2.022301	0.020041	1.628125	1.699764
-1.080000	0.393464	1.985775	0.019673	1.699764	1.768227
-1.070000	0.413137	1.948831	0.019302	1.768227	1.833542
-1.060000	0.432439	1.911526	0.018927	1.833542	1.895740
-1.050000	0.451367	1.873911	0.018550	1.895740	1.954853
-1.040000	0.469917	1.836038	0.018170	1.954853	2.010917
-1.030000	0.488087	1.797958	0.017788	2.010917	2.063971
-1.020000	0.505875	1.759718	0.017405	2.063971	2.114054
-1.010000	0.523281	1.721364	0.017022	2.114054	2.161209
-1.000000	0.540302	1.682942	0.016637	2.161209	2.205480
-0.990000	0.556939	1.644495	0.016253	2.205480	2.246914
-0.980000	0.573192	1.606065	0.015869	2.246914	2.285557
-0.970000	0.589061	1.567692	0.015485	2.285557	2.321458
-0.960000	0.604546	1.529414	0.015103	2.321458	2.354669
-0.950000	0.619650	1.491269	0.014723	2.354669	2.385240
-0.940000	0.634372	1.453292	0.014344	2.385240	2.413224
-0.930000	0.648716	1.415517	0.013967	2.413224	2.438675
-0.920000	0.662683	1.377975	0.013593	2.438675	2.461647
-0.910000	0.676277	1.340699	0.013222	2.461647	2.482194
-0.900000	0.689498	1.303717	0.012854	2.482194	2.500373
-0.890000	0.702352	1.267057	0.012489	2.500373	2.516239
-0.880000	0.714841	1.230746	0.012127	2.516239	2.529849
-0.870000	0.726968	1.194808	0.011770	2.529849	2.541259
-0.860000	0.738738	1.159267	0.011417	2.541259	2.550527
-0.850000	0.750155	1.124146	0.011068	2.550527	2.557708
-0.840000	0.761223	1.089464	0.010723	2.557708	2.562860
-0.830000	0.771946	1.055243	0.010383	2.562860	2.566039
-0.820000	0.782329	1.021499	0.010048	2.566039	2.567303
-0.810000	0.792377	0.988251	0.009718	2.567303	2.566706
-0.800000	0.802096	0.955513	0.009394	2.566706	2.564306
-0.790000	0.811489	0.923300	0.009074	2.564306	2.560158
-0.780000	0.820564	0.891626	0.008760	2.560158	2.554317
-0.770000	0.829324	0.860503	0.008452	2.554317	2.546838
-0.760000	0.837775	0.829943	0.008149	2.546838	2.537773
-0.750000	0.845924	0.799954	0.007852	2.537773	2.527178
-0.740000	0.853777	0.770547	0.007561	2.527178	2.515105
